adc ax,ax|6611c0
add [ebp],cx|6667014d00
add [ebp],dx|6667015500
add [ebp],si|6667017500
add [ebp],di|6667017d00
add [ebp],sp|6667016500
add [ebp],bp|6667016d00
add [ebp],ah|67006500
add [ebp],al|67004500
add [ebp],bh|67007d00
add [ebp],bl|67005d00
add [ebp],ch|67006d00
add [ebp],cl|67004d00
add [ebp],dh|67007500
add [ebp],dl|67005500
add [ebp],eax|67014500
add [ebp],ebx|67015d00
add [ebp],ecx|67014d00
add [ebp],esi|67017500
add [ebp],edi|67017d00
add [ebp],ebp|67016d00
add [ebp],esp|67016500
add [ebp],rax|6748014500
add [ebp],rbx|6748015d00
add [ebp],rcx|6748014d00
add [ebp],rsi|6748017500
add [ebp],rdi|6748017d00
add [ebp],rbp|6748016d00
add [ebp],rsp|6748016500
add [esp],ax|6667010424
add [esp],bx|6667011c24
add [esp],cx|6667010c24
add [esp],dx|6667011424
add [esp],si|6667013424
add [esp],di|6667013c24
add [esp],sp|6667012424
add [esp],bp|6667012c24
add [esp],ah|67002424
add [esp],al|67000424
add [esp],bh|67003c24
add [esp],bl|67001c24
add [esp],ch|67002c24
add [esp],cl|67000c24
add [esp],dh|67003424
add [esp],dl|67001424
add [esp],eax|67010424
add [esp],ebx|67011c24
add [esp],ecx|67010c24
add [esp],esi|67013424
add [esp],edi|67013c24
add [esp],ebp|67012c24
add [esp],esp|67012424
add [esp],rax|6748010424
add [esp],rbx|6748011c24
add [esp],rcx|6748010c24
add [esp],rsi|6748013424
add [esp],rdi|6748013c24
add [esp],rbp|6748012c24
add [esp],rsp|6748012424
add rax,0x0|4883c000
add rax,[0x0]|4803042500000000
add rax,[ebx]|67480303
add rax,[esi]|67480306
add rax,[edi]|67480307
add rax,[ebp]|6748034500
add rax,[esp]|6748030424
add rax,rax|4801c0
add rax,rbx|4801d8
add rax,rcx|4801c8
add rax,rsi|4801f0
add rax,rdi|4801f8
add rax,rbp|4801e8
add rax,rsp|4801e0
add rax,[rbx]|480303
add rax,[rsi]|480306
add rax,[rdi]|480307
add rax,[rbp]|48034500
add rax,[rsp]|48030424
add rbx,0x0|4883c300
add rbx,[0x0]|48031c2500000000
add rbx,[ebx]|6748031b
add rbx,[esi]|6748031e
add rbx,[edi]|6748031f
add rbx,[ebp]|6748035d00
add rbx,[esp]|6748031c24
add rbx,rax|4801c3
add rbx,rbx|4801db
add rbx,rcx|4801cb
add rbx,rsi|4801f3
add rbx,rdi|4801fb
add rbx,rbp|4801eb
add rbx,rsp|4801e3
add rbx,[rbx]|48031b
add rbx,[rsi]|48031e
add rbx,[rdi]|48031f
add rbx,[rbp]|48035d00
add rbx,[rsp]|48031c24
add rcx,0x0|4883c100
add rcx,[0x0]|48030c2500000000
add rcx,[ebx]|6748030b
add rcx,[esi]|6748030e
add rcx,[edi]|6748030f
add rcx,[ebp]|6748034d00
add rcx,[esp]|6748030c24
add rcx,rax|4801c1
add rcx,rbx|4801d9
add rcx,rcx|4801c9
add rcx,rsi|4801f1
add rcx,rdi|4801f9
add rcx,rbp|4801e9
add rcx,rsp|4801e1
add rcx,[rbx]|48030b
add rcx,[rsi]|48030e
add rcx,[rdi]|48030f
add rcx,[rbp]|48034d00
add rcx,[rsp]|48030c24
add rsi,0x0|4883c600
add rsi,[0x0]|4803342500000000
add rsi,[ebx]|67480333
add rsi,[esi]|67480336
add rsi,[edi]|67480337
add rsi,[ebp]|6748037500
add rsi,[esp]|6748033424
add rsi,rax|4801c6
add rsi,rbx|4801de
add rsi,rcx|4801ce
add rsi,rsi|4801f6
add rsi,rdi|4801fe
add rsi,rbp|4801ee
add rsi,rsp|4801e6
add rsi,[rbx]|480333
add rsi,[rsi]|480336
add rsi,[rdi]|480337
add rsi,[rbp]|48037500
add rsi,[rsp]|48033424
add rdi,0x0|4883c700
add rdi,[0x0]|48033c2500000000
add rdi,[ebx]|6748033b
add rdi,[esi]|6748033e
add rdi,[edi]|6748033f
add rdi,[ebp]|6748037d00
add rdi,[esp]|6748033c24
add rdi,rax|4801c7
add rdi,rbx|4801df
add rdi,rcx|4801cf
add rdi,rsi|4801f7
add rdi,rdi|4801ff
add rdi,rbp|4801ef
add rdi,rsp|4801e7
add rdi,[rbx]|48033b
add rdi,[rsi]|48033e
add rdi,[rdi]|48033f
add rdi,[rbp]|48037d00
add rdi,[rsp]|48033c24
add rbp,0x0|4883c500
add rbp,[0x0]|48032c2500000000
add rbp,[ebx]|6748032b
add rbp,[esi]|6748032e
add rbp,[edi]|6748032f
add rbp,[ebp]|6748036d00
add rbp,[esp]|6748032c24
add rbp,rax|4801c5
add rbp,rbx|4801dd
add rbp,rcx|4801cd
add rbp,rsi|4801f5
add rbp,rdi|4801fd
add rbp,rbp|4801ed
add rbp,rsp|4801e5
add rbp,[rbx]|48032b
add rbp,[rsi]|48032e
add rbp,[rdi]|48032f
add rbp,[rbp]|48036d00
add rbp,[rsp]|48032c24
add rsp,0x0|4883c400
add rsp,[0x0]|4803242500000000
add rsp,[ebx]|67480323
add rsp,[esi]|67480326
add rsp,[edi]|67480327
add rsp,[ebp]|6748036500
add rsp,[esp]|6748032424
add rsp,rax|4801c4
add rsp,rbx|4801dc
add rsp,rcx|4801cc
add rsp,rsi|4801f4
add rsp,rdi|4801fc
add rsp,rbp|4801ec
add rsp,rsp|4801e4
add rsp,[rbx]|480323
add rsp,[rsi]|480326
add rsp,[rdi]|480327
add rsp,[rbp]|48036500
add rsp,[rsp]|48032424
add [rbx],ax|660103
add [rbx],bx|66011b
add [rbx],cx|66010b
add [rbx],dx|660113
add [rbx],si|660133
add [rbx],di|66013b
add [rbx],sp|660123
add [rbx],bp|66012b
add [rbx],ah|0023
add [rbx],al|0003
add [rbx],bh|003b
add [rbx],bl|001b
add [rbx],ch|002b
add [rbx],cl|000b
add [rbx],dh|0033
add [rbx],dl|0013
add [rbx],eax|0103
add [rbx],ebx|011b
add [rbx],ecx|010b
add [rbx],esi|0133
add [rbx],edi|013b
add [rbx],ebp|012b
add [rbx],esp|0123
add [rbx],rax|480103
add [rbx],rbx|48011b
add [rbx],rcx|48010b
add [rbx],rsi|480133
add [rbx],rdi|48013b
add [rbx],rbp|48012b
add [rbx],rsp|480123
add [rsi],ax|660106
add [rsi],bx|66011e
add [rsi],cx|66010e
add [rsi],dx|660116
add [rsi],si|660136
add [rsi],di|66013e
add [rsi],sp|660126
add [rsi],bp|66012e
add [rsi],ah|0026
add [rsi],al|0006
add [rsi],bh|003e
add [rsi],bl|001e
add [rsi],ch|002e
add [rsi],cl|000e
add [rsi],dh|0036
add [rsi],dl|0016
add [rsi],eax|0106
add [rsi],ebx|011e
add [rsi],ecx|010e
add [rsi],esi|0136
add [rsi],edi|013e
add [rsi],ebp|012e
add [rsi],esp|0126
add [rsi],rax|480106
add [rsi],rbx|48011e
add [rsi],rcx|48010e
add [rsi],rsi|480136
add [rsi],rdi|48013e
add [rsi],rbp|48012e
add [rsi],rsp|480126
add [rdi],ax|660107
add [rdi],bx|66011f
add [rdi],cx|66010f
add [rdi],dx|660117
add [rdi],si|660137
add [rdi],di|66013f
add [rdi],sp|660127
add [rdi],bp|66012f
add [rdi],ah|0027
add [rdi],al|0007
add [rdi],bh|003f
add [rdi],bl|001f
add [rdi],ch|002f
add [rdi],cl|000f
add [rdi],dh|0037
add [rdi],dl|0017
add [rdi],eax|0107
add [rdi],ebx|011f
add [rdi],ecx|010f
add [rdi],esi|0137
add [rdi],edi|013f
add [rdi],ebp|012f
add [rdi],esp|0127
add [rdi],rax|480107
add [rdi],rbx|48011f
add [rdi],rcx|48010f
add [rdi],rsi|480137
add [rdi],rdi|48013f
add [rdi],rbp|48012f
add [rdi],rsp|480127
add [rbp],ax|66014500
add [rbp],bx|66015d00
add [rbp],cx|66014d00
add [rbp],dx|66015500
add [rbp],si|66017500
add [rbp],di|66017d00
add [rbp],sp|66016500
add [rbp],bp|66016d00
add [rbp],ah|006500
add [rbp],al|004500
add [rbp],bh|007d00
add [rbp],bl|005d00
add [rbp],ch|006d00
add [rbp],cl|004d00
add [rbp],dh|007500
add [rbp],dl|005500
add [rbp],eax|014500
add [rbp],ebx|015d00
add [rbp],ecx|014d00
add [rbp],esi|017500
add [rbp],edi|017d00
add [rbp],ebp|016d00
add [rbp],esp|016500
add [rbp],rax|48014500
add [rbp],rbx|48015d00
add [rbp],rcx|48014d00
add [rbp],rsi|48017500
add [rbp],rdi|48017d00
add [rbp],rbp|48016d00
add [rbp],rsp|48016500
add [rsp],ax|66010424
add [rsp],bx|66011c24
add [rsp],cx|66010c24
add [rsp],dx|66011424
add [rsp],si|66013424
add [rsp],di|66013c24
add [rsp],sp|66012424
add [rsp],bp|66012c24
add [rsp],ah|002424
add [rsp],al|000424
add [rsp],bh|003c24
add [rsp],bl|001c24
add [rsp],ch|002c24
add [rsp],cl|000c24
add [rsp],dh|003424
add [rsp],dl|001424
add [rsp],eax|010424
add [rsp],ebx|011c24
add [rsp],ecx|010c24
add [rsp],esi|013424
add [rsp],edi|013c24
add [rsp],ebp|012c24
add [rsp],esp|012424
add [rsp],rax|48010424
add [rsp],rbx|48011c24
add [rsp],rcx|48010c24
add [rsp],rsi|48013424
add [rsp],rdi|48013c24
add [rsp],rbp|48012c24
add [rsp],rsp|48012424
3e
26
2e
3e
26
2e
3e
26
2e
sub ax,ax|6629c0
sub ax,bx|6629d8
sub ax,cx|6629c8
sub ax,dx|6629d0
sub ax,si|6629f0
sub ax,di|6629f8
sub ax,sp|6629e0
sub ax,bp|6629e8
sub ax,0x0|6683e800
sub ax,[0x0]|662b042500000000
sub ax,[ebx]|66672b03
sub ax,[esi]|66672b06
sub ax,[edi]|66672b07
sub ax,[ebp]|66672b4500
sub ax,[esp]|66672b0424
sub ax,[rbx]|662b03
sub ax,[rsi]|662b06
sub ax,[rdi]|662b07
sub ax,[rbp]|662b4500
sub ax,[rsp]|662b0424
sub bx,ax|6629c3
sub bx,bx|6629db
sub bx,cx|6629cb
sub bx,dx|6629d3
sub bx,si|6629f3
sub bx,di|6629fb
sub bx,sp|6629e3
sub bx,bp|6629eb
sub bx,0x0|6683eb00
sub bx,[0x0]|662b1c2500000000
sub bx,[ebx]|66672b1b
sub bx,[esi]|66672b1e
sub bx,[edi]|66672b1f
sub bx,[ebp]|66672b5d00
sub bx,[esp]|66672b1c24
sub bx,[rbx]|662b1b
sub bx,[rsi]|662b1e
sub bx,[rdi]|662b1f
sub bx,[rbp]|662b5d00
sub bx,[rsp]|662b1c24
sub cx,ax|6629c1
sub cx,bx|6629d9
sub cx,cx|6629c9
sub cx,dx|6629d1
sub cx,si|6629f1
sub cx,di|6629f9
sub cx,sp|6629e1
sub cx,bp|6629e9
sub cx,0x0|6683e900
sub cx,[0x0]|662b0c2500000000
sub cx,[ebx]|66672b0b
sub cx,[esi]|66672b0e
sub cx,[edi]|66672b0f
sub cx,[ebp]|66672b4d00
sub cx,[esp]|66672b0c24
sub cx,[rbx]|662b0b
sub cx,[rsi]|662b0e
sub cx,[rdi]|662b0f
sub cx,[rbp]|662b4d00
sub cx,[rsp]|662b0c24
sub dx,ax|6629c2
sub dx,bx|6629da
sub dx,cx|6629ca
sub dx,dx|6629d2
sub dx,si|6629f2
sub dx,di|6629fa
sub dx,sp|6629e2
sub dx,bp|6629ea
sub dx,0x0|6683ea00
sub dx,[0x0]|662b142500000000
sub dx,[ebx]|66672b13
sub dx,[esi]|66672b16
sub dx,[edi]|66672b17
sub dx,[ebp]|66672b5500
sub dx,[esp]|66672b1424
sub dx,[rbx]|662b13
sub dx,[rsi]|662b16
sub dx,[rdi]|662b17
sub dx,[rbp]|662b5500
sub dx,[rsp]|662b1424
sub si,ax|6629c6
sub si,bx|6629de
sub si,cx|6629ce
sub si,dx|6629d6
sub si,si|6629f6
sub si,di|6629fe
sub si,sp|6629e6
sub si,bp|6629ee
sub si,0x0|6683ee00
sub si,[0x0]|662b342500000000
sub si,[ebx]|66672b33
sub si,[esi]|66672b36
sub si,[edi]|66672b37
sub si,[ebp]|66672b7500
sub si,[esp]|66672b3424
sub si,[rbx]|662b33
sub si,[rsi]|662b36
sub si,[rdi]|662b37
sub si,[rbp]|662b7500
sub si,[rsp]|662b3424
sub di,ax|6629c7
sub di,bx|6629df
sub di,cx|6629cf
sub di,dx|6629d7
sub di,si|6629f7
sub di,di|6629ff
sub di,sp|6629e7
sub di,bp|6629ef
sub di,0x0|6683ef00
sub di,[0x0]|662b3c2500000000
sub di,[ebx]|66672b3b
sub di,[esi]|66672b3e
sub di,[edi]|66672b3f
sub di,[ebp]|66672b7d00
sub di,[esp]|66672b3c24
sub di,[rbx]|662b3b
sub di,[rsi]|662b3e
sub di,[rdi]|662b3f
sub di,[rbp]|662b7d00
sub di,[rsp]|662b3c24
sub sp,ax|6629c4
sub sp,bx|6629dc
sub sp,cx|6629cc
sub sp,dx|6629d4
sub sp,si|6629f4
sub sp,di|6629fc
sub sp,sp|6629e4
sub sp,bp|6629ec
sub sp,0x0|6683ec00
sub sp,[0x0]|662b242500000000
sub sp,[ebx]|66672b23
sub sp,[esi]|66672b26
sub sp,[edi]|66672b27
sub sp,[ebp]|66672b6500
sub sp,[esp]|66672b2424
sub sp,[rbx]|662b23
sub sp,[rsi]|662b26
sub sp,[rdi]|662b27
sub sp,[rbp]|662b6500
sub sp,[rsp]|662b2424
sub bp,ax|6629c5
sub bp,bx|6629dd
sub bp,cx|6629cd
sub bp,dx|6629d5
sub bp,si|6629f5
sub bp,di|6629fd
sub bp,sp|6629e5
sub bp,bp|6629ed
sub bp,0x0|6683ed00
sub bp,[0x0]|662b2c2500000000
sub bp,[ebx]|66672b2b
sub bp,[esi]|66672b2e
sub bp,[edi]|66672b2f
sub bp,[ebp]|66672b6d00
sub bp,[esp]|66672b2c24
sub bp,[rbx]|662b2b
sub bp,[rsi]|662b2e
sub bp,[rdi]|662b2f
sub bp,[rbp]|662b6d00
sub bp,[rsp]|662b2c24
sub ah,0x0|80ec00
sub ah,ah|28e4
sub ah,al|28c4
sub ah,bh|28fc
sub ah,bl|28dc
sub ah,ch|28ec
sub ah,cl|28cc
sub ah,dh|28f4
sub ah,dl|28d4
sub ah,[0x0]|2a242500000000
sub ah,[ebx]|672a23
sub ah,[esi]|672a26
sub ah,[edi]|672a27
sub ah,[ebp]|672a6500
sub ah,[esp]|672a2424
sub ah,[rbx]|2a23
sub ah,[rsi]|2a26
sub ah,[rdi]|2a27
sub ah,[rbp]|2a6500
sub ah,[rsp]|2a2424
sub al,0x0|2c00
sub al,ah|28e0
sub al,al|28c0
sub al,bh|28f8
sub al,bl|28d8
sub al,ch|28e8
sub al,cl|28c8
sub al,dh|28f0
sub al,dl|28d0
sub al,[0x0]|2a042500000000
sub al,[ebx]|672a03
sub al,[esi]|672a06
sub al,[edi]|672a07
sub al,[ebp]|672a4500
sub al,[esp]|672a0424
sub al,[rbx]|2a03
sub al,[rsi]|2a06
sub al,[rdi]|2a07
sub al,[rbp]|2a4500
sub al,[rsp]|2a0424
sub bh,0x0|80ef00
sub bh,ah|28e7
sub bh,al|28c7
sub bh,bh|28ff
sub bh,bl|28df
sub bh,ch|28ef
sub bh,cl|28cf
sub bh,dh|28f7
sub bh,dl|28d7
sub bh,[0x0]|2a3c2500000000
sub bh,[ebx]|672a3b
sub bh,[esi]|672a3e
sub bh,[edi]|672a3f
sub bh,[ebp]|672a7d00
sub bh,[esp]|672a3c24
sub bh,[rbx]|2a3b
sub bh,[rsi]|2a3e
sub bh,[rdi]|2a3f
sub bh,[rbp]|2a7d00
sub bh,[rsp]|2a3c24
sub bl,0x0|80eb00
sub bl,ah|28e3
sub bl,al|28c3
sub bl,bh|28fb
sub bl,bl|28db
sub bl,ch|28eb
sub bl,cl|28cb
sub bl,dh|28f3
sub bl,dl|28d3
sub bl,[0x0]|2a1c2500000000
sub bl,[ebx]|672a1b
sub bl,[esi]|672a1e
sub bl,[edi]|672a1f
sub bl,[ebp]|672a5d00
sub bl,[esp]|672a1c24
sub bl,[rbx]|2a1b
sub bl,[rsi]|2a1e
sub bl,[rdi]|2a1f
sub bl,[rbp]|2a5d00
sub bl,[rsp]|2a1c24
sub ch,0x0|80ed00
sub ch,ah|28e5
sub ch,al|28c5
sub ch,bh|28fd
sub ch,bl|28dd
sub ch,ch|28ed
sub ch,cl|28cd
sub ch,dh|28f5
sub ch,dl|28d5
sub ch,[0x0]|2a2c2500000000
sub ch,[ebx]|672a2b
sub ch,[esi]|672a2e
sub ch,[edi]|672a2f
sub ch,[ebp]|672a6d00
sub ch,[esp]|672a2c24
sub ch,[rbx]|2a2b
sub ch,[rsi]|2a2e
sub ch,[rdi]|2a2f
sub ch,[rbp]|2a6d00
sub ch,[rsp]|2a2c24
sub cl,0x0|80e900
sub cl,ah|28e1
sub cl,al|28c1
sub cl,bh|28f9
sub cl,bl|28d9
sub cl,ch|28e9
sub cl,cl|28c9
sub cl,dh|28f1
sub cl,dl|28d1
sub cl,[0x0]|2a0c2500000000
sub cl,[ebx]|672a0b
sub cl,[esi]|672a0e
sub cl,[edi]|672a0f
sub cl,[ebp]|672a4d00
sub cl,[esp]|672a0c24
sub cl,[rbx]|2a0b
sub cl,[rsi]|2a0e
sub cl,[rdi]|2a0f
sub cl,[rbp]|2a4d00
sub cl,[rsp]|2a0c24
sub dh,0x0|80ee00
sub dh,ah|28e6
sub dh,al|28c6
sub dh,bh|28fe
sub dh,bl|28de
sub dh,ch|28ee
sub dh,cl|28ce
sub dh,dh|28f6
sub dh,dl|28d6
sub dh,[0x0]|2a342500000000
sub dh,[ebx]|672a33
sub dh,[esi]|672a36
sub dh,[edi]|672a37
sub dh,[ebp]|672a7500
sub dh,[esp]|672a3424
sub dh,[rbx]|2a33
sub dh,[rsi]|2a36
sub dh,[rdi]|2a37
sub dh,[rbp]|2a7500
sub dh,[rsp]|2a3424
sub dl,0x0|80ea00
sub dl,ah|28e2
sub dl,al|28c2
sub dl,bh|28fa
sub dl,bl|28da
sub dl,ch|28ea
sub dl,cl|28ca
sub dl,dh|28f2
sub dl,dl|28d2
sub dl,[0x0]|2a142500000000
sub dl,[ebx]|672a13
sub dl,[esi]|672a16
sub dl,[edi]|672a17
sub dl,[ebp]|672a5500
sub dl,[esp]|672a1424
sub dl,[rbx]|2a13
sub dl,[rsi]|2a16
sub dl,[rdi]|2a17
sub dl,[rbp]|2a5500
sub dl,[rsp]|2a1424
sub [0x0],ax|6629042500000000
sub [0x0],bx|66291c2500000000
sub [0x0],cx|66290c2500000000
sub [0x0],dx|6629142500000000
sub [0x0],si|6629342500000000
sub [0x0],di|66293c2500000000
sub [0x0],sp|6629242500000000
sub [0x0],bp|66292c2500000000
sub [0x0],ah|28242500000000
sub [0x0],al|28042500000000
sub [0x0],bh|283c2500000000
sub [0x0],bl|281c2500000000
sub [0x0],ch|282c2500000000
sub [0x0],cl|280c2500000000
sub [0x0],dh|28342500000000
sub [0x0],dl|28142500000000
sub [0x0],eax|29042500000000
sub [0x0],ebx|291c2500000000
sub [0x0],ecx|290c2500000000
sub [0x0],esi|29342500000000
sub [0x0],edi|293c2500000000
sub [0x0],ebp|292c2500000000
sub [0x0],esp|29242500000000
sub [0x0],rax|4829042500000000
sub [0x0],rbx|48291c2500000000
sub [0x0],rcx|48290c2500000000
sub [0x0],rsi|4829342500000000
sub [0x0],rdi|48293c2500000000
sub [0x0],rbp|48292c2500000000
sub [0x0],rsp|4829242500000000
sub eax,0x0|83e800
sub eax,[0x0]|2b042500000000
sub eax,eax|29c0
sub eax,ebx|29d8
sub eax,ecx|29c8
sub eax,esi|29f0
sub eax,edi|29f8
sub eax,ebp|29e8
sub eax,esp|29e0
sub eax,[ebx]|672b03
sub eax,[esi]|672b06
sub eax,[edi]|672b07
sub eax,[ebp]|672b4500
sub eax,[esp]|672b0424
sub eax,[rbx]|2b03
sub eax,[rsi]|2b06
sub eax,[rdi]|2b07
sub eax,[rbp]|2b4500
sub eax,[rsp]|2b0424
sub ebx,0x0|83eb00
sub ebx,[0x0]|2b1c2500000000
sub ebx,eax|29c3
sub ebx,ebx|29db
sub ebx,ecx|29cb
sub ebx,esi|29f3
sub ebx,edi|29fb
sub ebx,ebp|29eb
sub ebx,esp|29e3
sub ebx,[ebx]|672b1b
sub ebx,[esi]|672b1e
sub ebx,[edi]|672b1f
sub ebx,[ebp]|672b5d00
sub ebx,[esp]|672b1c24
sub ebx,[rbx]|2b1b
sub ebx,[rsi]|2b1e
sub ebx,[rdi]|2b1f
sub ebx,[rbp]|2b5d00
sub ebx,[rsp]|2b1c24
sub ecx,0x0|83e900
sub ecx,[0x0]|2b0c2500000000
sub ecx,eax|29c1
sub ecx,ebx|29d9
sub ecx,ecx|29c9
sub ecx,esi|29f1
sub ecx,edi|29f9
sub ecx,ebp|29e9
sub ecx,esp|29e1
sub ecx,[ebx]|672b0b
sub ecx,[esi]|672b0e
sub ecx,[edi]|672b0f
sub ecx,[ebp]|672b4d00
sub ecx,[esp]|672b0c24
sub ecx,[rbx]|2b0b
sub ecx,[rsi]|2b0e
sub ecx,[rdi]|2b0f
sub ecx,[rbp]|2b4d00
sub ecx,[rsp]|2b0c24
sub esi,0x0|83ee00
sub esi,[0x0]|2b342500000000
sub esi,eax|29c6
sub esi,ebx|29de
sub esi,ecx|29ce
sub esi,esi|29f6
sub esi,edi|29fe
sub esi,ebp|29ee
sub esi,esp|29e6
sub esi,[ebx]|672b33
sub esi,[esi]|672b36
sub esi,[edi]|672b37
sub esi,[ebp]|672b7500
sub esi,[esp]|672b3424
sub esi,[rbx]|2b33
sub esi,[rsi]|2b36
sub esi,[rdi]|2b37
sub esi,[rbp]|2b7500
sub esi,[rsp]|2b3424
sub edi,0x0|83ef00
sub edi,[0x0]|2b3c2500000000
sub edi,eax|29c7
sub edi,ebx|29df
sub edi,ecx|29cf
sub edi,esi|29f7
sub edi,edi|29ff
sub edi,ebp|29ef
sub edi,esp|29e7
sub edi,[ebx]|672b3b
sub edi,[esi]|672b3e
sub edi,[edi]|672b3f
sub edi,[ebp]|672b7d00
sub edi,[esp]|672b3c24
sub edi,[rbx]|2b3b
sub edi,[rsi]|2b3e
sub edi,[rdi]|2b3f
sub edi,[rbp]|2b7d00
sub edi,[rsp]|2b3c24
sub ebp,0x0|83ed00
sub ebp,[0x0]|2b2c2500000000
sub ebp,eax|29c5
sub ebp,ebx|29dd
sub ebp,ecx|29cd
sub ebp,esi|29f5
sub ebp,edi|29fd
sub ebp,ebp|29ed
sub ebp,esp|29e5
sub ebp,[ebx]|672b2b
sub ebp,[esi]|672b2e
sub ebp,[edi]|672b2f
sub ebp,[ebp]|672b6d00
sub ebp,[esp]|672b2c24
sub ebp,[rbx]|2b2b
sub ebp,[rsi]|2b2e
sub ebp,[rdi]|2b2f
sub ebp,[rbp]|2b6d00
sub ebp,[rsp]|2b2c24
sub esp,0x0|83ec00
sub esp,[0x0]|2b242500000000
sub esp,eax|29c4
sub esp,ebx|29dc
sub esp,ecx|29cc
sub esp,esi|29f4
sub esp,edi|29fc
sub esp,ebp|29ec
sub esp,esp|29e4
sub esp,[ebx]|672b23
sub esp,[esi]|672b26
sub esp,[edi]|672b27
sub esp,[ebp]|672b6500
sub esp,[esp]|672b2424
sub esp,[rbx]|2b23
sub esp,[rsi]|2b26
sub esp,[rdi]|2b27
sub esp,[rbp]|2b6500
sub esp,[rsp]|2b2424
sub [ebx],ax|66672903
sub [ebx],bx|6667291b
sub [ebx],cx|6667290b
sub [ebx],dx|66672913
sub [ebx],si|66672933
sub [ebx],di|6667293b
sub [ebx],sp|66672923
sub [ebx],bp|6667292b
sub [ebx],ah|672823
sub [ebx],al|672803
sub [ebx],bh|67283b
sub [ebx],bl|67281b
sub [ebx],ch|67282b
sub [ebx],cl|67280b
sub [ebx],dh|672833
sub [ebx],dl|672813
sub [ebx],eax|672903
sub [ebx],ebx|67291b
sub [ebx],ecx|67290b
sub [ebx],esi|672933
sub [ebx],edi|67293b
sub [ebx],ebp|67292b
sub [ebx],esp|672923
sub [ebx],rax|67482903
sub [ebx],rbx|6748291b
sub [ebx],rcx|6748290b
sub [ebx],rsi|67482933
sub [ebx],rdi|6748293b
sub [ebx],rbp|6748292b
sub [ebx],rsp|67482923
sub [esi],ax|66672906
sub [esi],bx|6667291e
sub [esi],cx|6667290e
sub [esi],dx|66672916
sub [esi],si|66672936
sub [esi],di|6667293e
sub [esi],sp|66672926
sub [esi],bp|6667292e
sub [esi],ah|672826
sub [esi],al|672806
sub [esi],bh|67283e
sub [esi],bl|67281e
sub [esi],ch|67282e
sub [esi],cl|67280e
sub [esi],dh|672836
sub [esi],dl|672816
sub [esi],eax|672906
sub [esi],ebx|67291e
sub [esi],ecx|67290e
sub [esi],esi|672936
sub [esi],edi|67293e
sub [esi],ebp|67292e
sub [esi],esp|672926
sub [esi],rax|67482906
sub [esi],rbx|6748291e
sub [esi],rcx|6748290e
sub [esi],rsi|67482936
sub [esi],rdi|6748293e
sub [esi],rbp|6748292e
sub [esi],rsp|67482926
sub [edi],ax|66672907
sub [edi],bx|6667291f
sub [edi],cx|6667290f
sub [edi],dx|66672917
sub [edi],si|66672937
sub [edi],di|6667293f
sub [edi],sp|66672927
sub [edi],bp|6667292f
sub [edi],ah|672827
sub [edi],al|672807
sub [edi],bh|67283f
sub [edi],bl|67281f
sub [edi],ch|67282f
sub [edi],cl|67280f
sub [edi],dh|672837
sub [edi],dl|672817
sub [edi],eax|672907
sub [edi],ebx|67291f
sub [edi],ecx|67290f
sub [edi],esi|672937
sub [edi],edi|67293f
sub [edi],ebp|67292f
sub [edi],esp|672927
sub [edi],rax|67482907
sub [edi],rbx|6748291f
sub [edi],rcx|6748290f
sub [edi],rsi|67482937
sub [edi],rdi|6748293f
sub [edi],rbp|6748292f
sub [edi],rsp|67482927
sub [ebp],ax|6667294500
sub [ebp],bx|6667295d00
sub [ebp],cx|6667294d00
sub [ebp],dx|6667295500
sub [ebp],si|6667297500
sub [ebp],di|6667297d00
sub [ebp],sp|6667296500
sub [ebp],bp|6667296d00
sub [ebp],ah|67286500
sub [ebp],al|67284500
sub [ebp],bh|67287d00
sub [ebp],bl|67285d00
sub [ebp],ch|67286d00
sub [ebp],cl|67284d00
sub [ebp],dh|67287500
sub [ebp],dl|67285500
sub [ebp],eax|67294500
sub [ebp],ebx|67295d00
sub [ebp],ecx|67294d00
sub [ebp],esi|67297500
sub [ebp],edi|67297d00
sub [ebp],ebp|67296d00
sub [ebp],esp|67296500
sub [ebp],rax|6748294500
sub [ebp],rbx|6748295d00
sub [ebp],rcx|6748294d00
sub [ebp],rsi|6748297500
sub [ebp],rdi|6748297d00
sub [ebp],rbp|6748296d00
sub [ebp],rsp|6748296500
sub [esp],ax|6667290424
sub [esp],bx|6667291c24
sub [esp],cx|6667290c24
sub [esp],dx|6667291424
sub [esp],si|6667293424
sub [esp],di|6667293c24
sub [esp],sp|6667292424
sub [esp],bp|6667292c24
sub [esp],ah|67282424
sub [esp],al|67280424
sub [esp],bh|67283c24
sub [esp],bl|67281c24
sub [esp],ch|67282c24
sub [esp],cl|67280c24
sub [esp],dh|67283424
sub [esp],dl|67281424
sub [esp],eax|67290424
sub [esp],ebx|67291c24
sub [esp],ecx|67290c24
sub [esp],esi|67293424
sub [esp],edi|67293c24
sub [esp],ebp|67292c24
sub [esp],esp|67292424
sub [esp],rax|6748290424
sub [esp],rbx|6748291c24
sub [esp],rcx|6748290c24
sub [esp],rsi|6748293424
sub [esp],rdi|6748293c24
sub [esp],rbp|6748292c24
sub [esp],rsp|6748292424
sub rax,0x0|4883e800
sub rax,[0x0]|482b042500000000
sub rax,[ebx]|67482b03
sub rax,[esi]|67482b06
sub rax,[edi]|67482b07
sub rax,[ebp]|67482b4500
sub rax,[esp]|67482b0424
